variant,option,x0_cm,x1_cm,y0_cm,y1_cm,T-20_min,T-20_max,T-20_avg,T+20_min,T+20_max,T+20_avg
18,1,1.9,2.9,4.1,5.1,-9.99,-8.6,-9.62,23.34,23.8,23.46
18,2,1.6,2.6,2.1,3.1,-9.94,-4.39,-7.39,23.35,25.2,24.2
