variant,x0_cm,y0_cm,x1_cm,y1_cm,minus_min,minus_max,minus_avg,plus_min,plus_max,plus_avg,criterion_avg_warm
1,1.9000,4.1000,2.9000,5.1000,-9.993608,-8.601174,-9.623782,23.335464,23.799609,23.458739,23.458739
2,1.6000,2.1000,2.6000,3.1000,-9.940264,-4.391192,-7.394625,23.353245,25.202936,24.201792,24.201792
