variant,option,x0_cm,x1_cm,y0_cm,y1_cm,T-20_min,T-20_max,T-20_avg,T+20_min,T+20_max,T+20_avg
30,1,-4.9,-3.9,-3.1,-2.1,-9.81,-2.84,-6.48,23.4,25.72,24.51
30,2,2.1,3.1,-2.9,-1.9,-9.94,2.57,-4.26,23.35,27.52,25.25
