variant,x0_cm,y0_cm,x1_cm,y1_cm,minus_min,minus_max,minus_avg,plus_min,plus_max,plus_avg,criterion_avg_warm
1,2.3500,0.5000,3.3500,1.5000,-9.997560,2.484939,-4.121034,23.334147,27.494980,25.292989,25.292989
2,-1.2500,-3.7000,-0.2500,-2.7000,-9.981841,0.767338,-4.102879,23.339386,26.922446,25.299040,25.299040
